[unsup] epoch 146/800  loss=9325.5549
[unsup] epoch 147/800  loss=8512.2022
[unsup] epoch 148/800  loss=8446.1438
[unsup] epoch 149/800  loss=8322.7764
[unsup] epoch 150/800  loss=8983.1471
[unsup] epoch 151/800  loss=8417.5690
[unsup] epoch 152/800  loss=9645.8662
[unsup] epoch 153/800  loss=8569.3052
[unsup] epoch 154/800  loss=8319.1306
[unsup] epoch 155/800  loss=8612.6595
[unsup] epoch 156/800  loss=8332.7265
[unsup] epoch 157/800  loss=8610.3384
[unsup] epoch 158/800  loss=19104.5852
[unsup] epoch 159/800  loss=18327.7497
[unsup] epoch 160/800  loss=10725.8669
[unsup] epoch 161/800  loss=9930.0497
[unsup] epoch 162/800  loss=9550.6216
[unsup] epoch 163/800  loss=9343.7042
[unsup] epoch 164/800  loss=9127.4630
[unsup] epoch 165/800  loss=9051.1702
[unsup] epoch 166/800  loss=8833.7777
[unsup] epoch 167/800  loss=8675.6413
[unsup] epoch 168/800  loss=8839.4970
[unsup] epoch 169/800  loss=8710.6906
[unsup] epoch 170/800  loss=8701.3528
[unsup] epoch 171/800  loss=8547.4024
[unsup] epoch 172/800  loss=8485.8211
[unsup] epoch 173/800  loss=8466.6309
[unsup] epoch 174/800  loss=8534.0589
[unsup] epoch 175/800  loss=8560.3207
[unsup] epoch 176/800  loss=8357.2039
[unsup] epoch 177/800  loss=8312.5043
[unsup] epoch 178/800  loss=8434.7020
[unsup] epoch 179/800  loss=8340.6980
[unsup] epoch 180/800  loss=8913.6672
[unsup] epoch 181/800  loss=8956.3721
[unsup] epoch 182/800  loss=8359.2778
[unsup] epoch 183/800  loss=8147.7602
[unsup] epoch 184/800  loss=8291.4277
[unsup] epoch 185/800  loss=8340.7289
[unsup] epoch 186/800  loss=8288.1904
[unsup] epoch 187/800  loss=8035.9003
[unsup] epoch 188/800  loss=8460.5887
[unsup] epoch 189/800  loss=8153.5385
[unsup] epoch 190/800  loss=8236.7723
[unsup] epoch 191/800  loss=9268.9826
[unsup] epoch 192/800  loss=9802.3328
[unsup] epoch 193/800  loss=9079.2757
[unsup] epoch 194/800  loss=8547.2827
[unsup] epoch 195/800  loss=8103.5233
[unsup] epoch 196/800  loss=8379.0430
[unsup] epoch 197/800  loss=8351.8505
[unsup] epoch 198/800  loss=8111.3604
[unsup] epoch 199/800  loss=8171.0374
[unsup] epoch 200/800  loss=8081.7584
[unsup] epoch 201/800  loss=8217.2844
[unsup] epoch 202/800  loss=8315.4672
[unsup] epoch 203/800  loss=8259.9307
[unsup] epoch 204/800  loss=8974.8670
[unsup] epoch 205/800  loss=8167.9280
[unsup] epoch 206/800  loss=8004.7661
[unsup] epoch 207/800  loss=8248.3043
[unsup] epoch 208/800  loss=8207.9634
[unsup] epoch 209/800  loss=8137.1406
[unsup] epoch 210/800  loss=8163.8885
[unsup] epoch 211/800  loss=7991.5087
[unsup] epoch 212/800  loss=7974.6515
[unsup] epoch 213/800  loss=7895.4509
[unsup] epoch 214/800  loss=8006.8610
[unsup] epoch 215/800  loss=7977.2013
[unsup] epoch 216/800  loss=8426.9921
[unsup] epoch 217/800  loss=7850.8789
[unsup] epoch 218/800  loss=7914.0103
[unsup] epoch 219/800  loss=8988.3922
[unsup] epoch 220/800  loss=7803.8011
[unsup] epoch 221/800  loss=8048.6134
[unsup] epoch 222/800  loss=8068.8264
[unsup] epoch 223/800  loss=7997.8315
[unsup] epoch 224/800  loss=8856.5532
[unsup] epoch 225/800  loss=8915.6191
[unsup] epoch 226/800  loss=8048.8632
[unsup] epoch 227/800  loss=7778.5917
[unsup] epoch 228/800  loss=7893.3692
[unsup] epoch 229/800  loss=7816.9676
[unsup] epoch 230/800  loss=7937.7721
[unsup] epoch 231/800  loss=8513.2918
[unsup] epoch 232/800  loss=8091.1736
[unsup] epoch 233/800  loss=7828.3004
[unsup] epoch 234/800  loss=8179.1087
[unsup] epoch 235/800  loss=8011.6974
[unsup] epoch 236/800  loss=8618.6428
[unsup] epoch 237/800  loss=10394.6929
[unsup] epoch 238/800  loss=8310.1975
[unsup] epoch 239/800  loss=8108.8878
[unsup] epoch 240/800  loss=8062.9820
[unsup] epoch 241/800  loss=7953.3624
[unsup] epoch 242/800  loss=8046.4013
[unsup] epoch 243/800  loss=8123.6514
[unsup] epoch 244/800  loss=7918.8748
[unsup] epoch 245/800  loss=7832.5375
[unsup] epoch 246/800  loss=8003.8147
[unsup] epoch 247/800  loss=8072.6525
[unsup] epoch 248/800  loss=7816.9169
[unsup] epoch 249/800  loss=7740.5103
[unsup] epoch 250/800  loss=7697.5670
[unsup] epoch 251/800  loss=7830.3876
[unsup] epoch 252/800  loss=7769.4233
[unsup] epoch 253/800  loss=10402.7882
[unsup] epoch 254/800  loss=8301.2650
[unsup] epoch 255/800  loss=7901.6958
[unsup] epoch 256/800  loss=7833.7246
[unsup] epoch 257/800  loss=7678.0254
[unsup] epoch 258/800  loss=7723.2209
[unsup] epoch 259/800  loss=7703.7028
[unsup] epoch 260/800  loss=7728.8362
[unsup] epoch 261/800  loss=8296.1836
[unsup] epoch 262/800  loss=9281.2191
[unsup] epoch 263/800  loss=7946.2683
[unsup] epoch 264/800  loss=7687.3274
[unsup] epoch 265/800  loss=7653.6899
[unsup] epoch 266/800  loss=7567.2745
[unsup] epoch 267/800  loss=7795.5654
[unsup] epoch 268/800  loss=7622.1813
[unsup] epoch 269/800  loss=7770.5508
[unsup] epoch 270/800  loss=8399.1280
[unsup] epoch 271/800  loss=8173.6158
[unsup] epoch 272/800  loss=7972.6404
[unsup] epoch 273/800  loss=7687.0254
[unsup] epoch 274/800  loss=7845.0296
[unsup] epoch 275/800  loss=7693.3749
[unsup] epoch 276/800  loss=7811.6981
[unsup] epoch 277/800  loss=7802.3512
[unsup] epoch 278/800  loss=7866.3487
